key_mlbam,key_retro,key_fangraphs,name_last,name_first
621550,wisdp001,13602,Wisdom,Patrick
543340,hudsk001,3658,Hudson,Kyle
113225,delaa101,1003162,Delaney,Art
502205,greeg002,10053,Green,Grant
112682,cordm001,132,Cordova,Marty
820101,charr101,-1,Charleston,Red
118281,marel101,1008104,Marentette,Leo
121364,rodrr003,1011112,Rodríguez,Rosario
116050,hoggb101,1005927,Hogg,Bill
668952,kreir001,25867,Kreidler,Ryan
670087,sittb001,19192,Sittinger,Brandyn
122444,smitp102,1012190,Smith,Pete
112690,cormr001,952,Cormier,Rheal
120387,pennw001,1010163,Pennyfeather,Will
111595,browt102,1001562,Brown,Tom
111167,bolae101,1001138,Boland,Ed
666622,marqb001,21896,Márquez,Brailyn
121754,schaa101,1011503,Schacht,Al
502139,stinj001,3219,Stinson,Josh
113642,dunnm001,1003570,Dunne,Mike
112296,ciprf101,1002244,Cipriani,Frank
111774,burrj101,1001732,Burrows,John
112830,crisd102,1002771,Criscione,Dave
434623,morij001,3369,Morillo,Juan
-1,dezef901,-1,Dezelan,Frank
117511,laroj101,1007357,LaRose,John
676979,crocg001,27463,Crochet,Garrett
113641,dunnt001,1003579,Dunn,Todd
501687,martl003,8651,Marte,Luis
-1,hineb801,-1,Hines,Ben
607333,taylb003,12384,Taylor,Beau
425513,brazc001,2081,Brazell,Craig
595441,tracm001,12240,Tracy,Matt
115379,hamid101,1005271,Hamilton,Dave
452215,montl002,6601,Montz,Luke
457566,burkg001,6282,Burke,Greg
114466,frymw101,1004381,Fryman,Woodie
592329,garcj005,12143,García,Jason
120632,plymj001,1010401,Plympton,Jeff
592169,brica001,17237,Brice,Austin
627500,tsenj001,15524,Tseng,Jen-Ho
111605,browg102,1001519,Browne,George
-1,portu901,-1,Porter,Charles
425428,depaj002,1827,De Paula,Jorge
118371,martd001,1008161,Martínez,Dennis
571602,davim005,7226,Davidson,Matt
817435,rossh101,-1,Ross,Howard
111922,campb102,1001875,Campbell,Bruce
-1,palld901,-1,Pallone,Dave
119131,millb112,1008872,Miller,Bill
119929,odeak101,1009722,O'Dea,Ken
818005,napol101,-1,Napoleon,Larry
687931,whisc001,-1,Whisenhunt,Carson
119639,naglj101,1009437,Nagle,Judge
543507,may-t001,6398,May,Trevor
-1,biagg801,-1,Biagini,Greg
669093,estrj002,22210,Estrada,Jeremiah
120060,oroum101,1009842,O'Rourke,Mike
114396,freds001,1004312,Fredrickson,Scott
575629,lives901,-1,Livensparger,Shane
816656,whitc106,-1,White,Clifford
451713,peguc001,8760,Peguero,Carlos
120809,purno101,1010574,Purner,Oscar
514639,ortej001,9651,Ortega,José
501981,davik003,9112,Davis,Khris
123980,watkp001,1013672,Watkins,Pat
115009,gracm101,1004914,Grace,Mike
123391,tompc101,1013113,Tompkins,Chuck
118271,mapec101,1008094,Mapes,Cliff
122119,shels101,1011861,Shelton,Skeeter
123504,turbg101,1013220,Turbeville,George
818243,mccuj101,-1,McCurine,Jim
817665,pritw101,-1,Pritchett,Wilbert
818572,lamaj102,-1,LaMarque,Jim
118254,manst101,1008079,Mansell,Tom
115119,gregf101,1005023,Gregory,Frank
-1,scheg901,-1,Scheu,Gus
121256,rizzj101,1011009,Rizzo,Johnny
461791,marmc001,2790,Marmól,Carlos
118162,mahlr001,1007988,Mahler,Rick
424725,sadlc001,1568,Sadler,Carl
595918,colea002,11467,Cole,A. J.
571918,marrd001,13325,Marrero,Deven
663362,waldm003,25550,Waldron,Matt
111614,brucl101,1001574,Bruce,Lou
133222,priee001,1010534,Priest,Eddie
118668,mcfag101,1008485,McFadden,Guy
594824,garcg002,10951,Garcia,Greg
117936,lougu101,-1,O'Loughlin,Patrick
123884,walsj103,1013578,Walsh,Joe
110685,batik001,1000665,Batiste,Kevin
820382,britj104,-1,Britton,John
817266,siasg101,-1,Sias,George
119431,moscr101,1009237,Moschitto,Ross
